ID;Comment_date;Comment;Gender;Rate;Category
108;2023-07-09;…надо сказать,микроскопический.Собираются,видимо,свои,в основном молодежь,им норм)Коктейли на 4,цены демократичные.Если Послушать рок и выпить-то вам сюда.;ж;3;Коктейли
109;2018-07-11;…Бар выполнен в стиле Алисы в стране Чудес, и не зря - Чеширский кот, уютная атмосфера, шикарная музыка и офигенно классные бармены дадут вам провалиться в кроличью нору.…;ж;5;Коктейли
110;2024-07-22;Олдскульное место с отличным джином и атмосферой, диджей ставил трэки 90х в современной обработке - очень хорошо было;м;5;Коктейли
111;2024-01-17;…душевные и позитивные, профессионалы)) Никогда не болит голова после этого барчика, напились тут самбукой так, что первый раз поцеловались с МЧ, теперь вот уже семья;ж;5;Коктейли
112;2020-02-25;…Бармен разговаривал откровенно хамски, сложилось впечатление, что он был пьяный 2) Цена шота Б-53 в меню написана 220₽, однако бармен хотел мне его продать…;м;1;Коктейли
113;2024-07-27;"Всегда заходил вечером взять Лонг-Айленд на вынос с собой.... Сегодня охранник не пустил даже внутрь, причина отказа ""У нас нет мест""…";м;1;Коктейли
114;2026-08-02;После зубной клиники не раз заходил снять заморозку от укола в зуб?! Коньячок с лимончиком спасает! Бармены душки!! Веселые…;м;5;Коктейли
115;2021-05-19;…Большой выбор алкоголя с интересными предложениями, комбо и тд. Огромный выбор вкуснейших шотов. Если вы ищите бар в центре Москвы ради крутого вечера, то вам сюда;м;5;Коктейли
116;2023-02-21;Из барного меню в основном коктейли, без изысков. Ассортимент вина и пива совсем узкий. Еду не заказывала. По музыке ставят рок.;ж;3;Коктейли
117;2021-08-15;Коктейли без излишеств вкусовых. А то до среднего недотягивают. Сервис из разряда - это ж тебе надо, ты и плати нам налом, или бери с запасом…;ж;1;Коктейли
118;2022-08-15;…Мастер тетриса.. Захоти я положить в коктейль ещё хоть один кубик льда, мне пришлось бы ждать когда растаят те что он мне натромбовал . Но заведение в целом приятное.…;м;3;Коктейли
119;2022-04-01;ну такое место, на любителя, просто зайти посидеть немного, еда не притязательная, выбор пива небольшой возможно с коктейлями получше - не пробовал;м;3;Коктейли
120;2021-04-25;…ld school - бар с приятными ценами. Большой выбор коктейлей и других напитков. Выбор еды не большой, но готовят очень вкусно. Душевная атмосфера, доброжелательные и общительные бармены.…;м;5;Коктейли
121;2024-04-30;Вполне достойный бар. Общительные бармены , вкусные коктейли. Может ещё увеличить ассортимент пива и будет вообще отлично. Цены , кстати , тоже порадовали.;м;5;Коктейли
122;2024-06-23;Уютная обстановка, вкусные коктейли и шоты, персонал приятный. Обслуживание что надо, очень советую заглянуть в это место, если хотите с кайфом скоротать вечер)…;м;5;Коктейли
123;2023-10-02;…профессиональный охраник Александр , который не вёлся на уговоры пьяных дам выпить и всякие другие предложения. Бармены на высшем уровне! Вкусные коктейли.…;ж;5;Коктейли
124;2023-09-17;…пора домой,рассвет.мы оказываемся в этом баре. Коктейли на любой вкус, фишички всякие,акции так и манят. Бармены хорошие ребята.прям на своем месте.;ж;5;Коктейли
125;2024-10-26;Коктейли хорошие, но пользуются нетрезвым состоянием посетителей ив чек добавляют напитки, которые не заказывали. Больше сюда не пойду;м;3;Коктейли
126;2025-06-27;…которые работают ночью, мало, выбор пал на этот бар. Зашли в субботу вечером, музыки нет, никакой вообще! Полная тишина, в которой сидят человек 5. Но это ладно…;ж;1;Музыка
127;2023-08-10;Довольно неплохо, но очень тесно, особенно если компания состоит из 6 человек. Брали коктейли, были вкусные, есть фоновая музыка, но потанцевать не получился.;ж;4;Музыка
128;2023-07-09;Место скорее специфическое,музыка очень громкая,разговаривать крайне сложно,но в то же время места для танцев практически нет-только в проходе между баром.…;ж;3;Музыка
129;2023-07-24;Отличные коктейли, приветливый бармен. Зашли поужинать и были приятно удивлены качеству блюд и коктейлей. Но, места мало и играет довольно громко рок-музыка.;м;5;Музыка
130;2023-08-06;…что все гости - завсегдатаи этого бара, между собой знакомы, а новым людям не особо рады. Кроме этого громко играла музыка, болтать здесь не очень комфортно.;ж;4;Музыка
131;2022-07-14;Вкус коктейлей зависит от бармена, брали в один вечер одни и те же коктейли и каждый делает по своему . Еда очень вкусная,очень маленький зал, но разве это плохо ? Из минусов ооочент громкая музыка даже для бара, если вы хотите поболтать - вам точно не сюда;ж;4;Музыка
132;2019-10-03;Палёный алкоголь, плохой звук разрывающий уши, хамоватые бармены, соответствующий гоп-контингент;м;1;Музыка
133;2019-06-15;Коктейли хороши Но громкая музыка. Очень.;м;4;Музыка
134;2021-10-16;Странная музыка и атмосфера;м;1;Музыка
135;2023-08-21;Если вы любите вкусные коктейли, рок н рол и барные стойки- место для вас. Маленький, но очень атмосферный бар. Бармены все крутые,но Ольгу отмечу отдельно. Душа заведения)) Короче говоря, если есть настроение для отличного вечера - это сюда.;ж;5;Музыка
136;2024-09-29;Очень уютный и спокойный бар. Прекрасная кухня и отличная барная карта. Фишкой бара однозначно является то, что он «для своих» тут все друг друга знают. Никаких стычек и малолетних алкогольных драк. Серьезный и очень отзывчивый персонал. В пятницу и субботу работает диджей. Ещё одна фишка заведения - наличие различных акций. Например во вторник дают три пива по цене двух, а в четверг два коктейля по цене одного. Есть бизнес ланчи. В общем настоятельно рекомендую к посещению небольшой компанией или в одиночку.;ж;5;Музыка
137;2022-12-19;Классный бар для небольшой компании. Очень большая коктейльная карта, цены адекватные. Персонал общительный, поддержит, пошутит, подскажет) В заведении нет громкой музыки и шумной толпы – идеально, чтобы пообщаться с друзьями. Из пожеланий – побольше пива на кранах;м;5;Музыка
138;2023-06-19;Своя атмосфера как из начала 2010х, коктейли вкусные, особенно у бармена Артура. Музыка для миллениалов. После 23 на улице нельзя сильно шуметь, это не вина заведения, но я считаю это минусом, т.к. внутри становится душновато и хочется тусить снаружи.;ж;4;Музыка
139;2023-01-30;Цены не кусаются Тесновато Коктейли нормальные а пиво не очень Отличная музыка Не работает кухня после 23:00 это не минус просто сообщаю хоть у них это везде указано);м;3;Музыка
140;2022-09-18;Маленький и очень приятный бар. Хороший выбор коктейлей и крепких напитков, пива мало, но зато относительно недорогое. Можно уютно посидеть, выпить/перекусить и послушать старый рок.;ж;5;Музыка
141;2023-02-21;Из барного меню в основном коктейли, без изысков. Ассортимент вина и пива совсем узкий. Еду не заказывала. По музыке ставят рок.;ж;3;Музыка
142;2023-01-06;Атмосферное место в стиле РОК. Хороший выбор шотов и настоек. Адекватный ценник и адекватный персонал в заведении. Лучше приготовить наличку;м;5;Музыка
143;2024-09-16;Очень душевный бар Отличная атмосфера.Диджей огонь просто)))) Цены вкусные;ж;5;Музыка
144;2022-07-24;Прикольное место. Маленький барчик в стиле еее рок, в котором днём есть бизнес-ланч (кормят вкусно и по-домашнему).;ж;5;Музыка
145;2022-12-28;Попала случайно ,не мое ,хотя еда и коктейли оч вкусные...но я не любитель рока . Порадовал так же игровой автомат на входе );ж;5;Музыка
146;2021-12-03;Когда всё осточертело - или сюда за шотом под рок;м;5;Музыка
147;2018-11-15;Уютный бар с рок-музыкой (трек лист, правда, на любителя);м;5;Музыка
148;2024-04-26;*** бар. Рок, настроение, *** бармены! Больше нечего добавить!;м;5;Музыка
149;2025-11-21;Ооооочень атмосферное местечко! Зашли с девчонками поболтать, а тут и коктейльчики, и рок 🤘 фоном играет, и бармены с татухами. Просто кайф 😌 Коктейли вкусные, попробовали пару-тройку,может и больше😂 ушли на позитиве! 👍 Теперь мужа сюда на свидание приведу, уж очень понравилось местечко 👍;ж;5;Музыка
150;2025-08-14;Атмосферно и вкусно ! Бармены адекватные и вежливые. Приятный интерьер и музыка. Помещение небольшое, но это не минус, а плюс, очень уютно. Во время бизнес-ланча места были только за стойкой, после - более свободно. Впечатления только положительные! Спасибо!;ж;5;Музыка
151;2025-10-28;Очень вкусные обеды и приветливый персонал! Заказываем здесь обеды для сотрудников и посетителей, решила сама поесть там и не разочаровалась! В заведении играет уважаемая (мной) музыка, сотрудники быстро помогают сориентироваться (была там первый раз самостоятельно). Надеюсь смогу попробовать в будущем и бар :);ж;5;Музыка
152;2024-08-16;…Иногда захожу сюда посидеть с друзьями. Атмосфера очень приятная, играет рок, весёлые бармены и вкусные коктейли. Поцелуй вампира и Джокер мои любимые.…;ж;5;Музыка
153;2025-09-20;…отличный выбор напитков. На маленькую площадь умудрились разместить и бар и столики и диванчики. Отличный антураж, классная подборка музыки. И даже игровой автомат)));м;5;Музыка
154;2024-12-28;…это действительно огромные достоинства этого бара. Музыка, в основном рок, создаёт отличную атмосферу (нам даже погромче сделали, чтобы шазамить было удобно), бармены все супер!…;ж;5;Музыка
